timestamp_ms,forearm_L.angular_velocity,forearm_L.linear_acceleration,hand_L.angular_velocity,hand_L.linear_acceleration,head.angular_velocity,head.linear_acceleration,upper_torso.angular_velocity,upper_torso.linear_acceleration
6,4.9634004,0.08362986,1.0935346,0.1452431,3.5657277,0.2490237,4.6342525,0.041042015
40,4.9634004,0.08362986,0.57903033,0.14591636,3.5657277,0.2490237,4.684622,0.024676677
41,4.9634004,0.08362986,0.545915,0.18510568,3.5657277,0.2490237,4.684622,0.024676677
59,3.8121326,0.10576443,0.545915,0.18510568,3.7679012,0.24851257,4.684622,0.024676677
60,3.8121326,0.10576443,0.5493164,0.1961002,3.802348,0.22667642,4.684622,0.024676677
69,2.9468036,0.15545157,0.64014214,0.22511256,3.802348,0.22667642,4.2785597,0.046559818
70,2.9468036,0.15545157,0.64014214,0.22511256,3.851023,0.18762861,3.64273,0.073203236
72,2.6799924,0.1655176,1.0536301,0.2227712,3.851023,0.18762861,3.64273,0.073203236
72,2.6799924,0.1655176,1.0536301,0.2227712,3.9446845,0.18864991,2.9334996,0.09632567
73,2.6799924,0.1655176,0.4443426,0.18882847,3.9446845,0.18864991,2.9334996,0.09632567
75,2.8115947,0.15037106,0.4443426,0.18882847,3.9446845,0.18864991,2.9334996,0.09632567
76,2.8115947,0.15037106,0.4443426,0.18882847,3.7191398,0.1734407,2.9334996,0.09632567
76,2.2558248,0.18477291,0.4443426,0.18882847,3.372986,0.15985088,3.186713,0.03460699
84,3.2806041,0.17686568,0.4443426,0.18882847,3.372986,0.15985088,2.8504133,0.14001754
85,3.2806041,0.17686568,0.4443426,0.18882847,3.5447712,0.17049043,3.0941873,0.14748017
87,2.2648895,0.15559195,0.4443426,0.18882847,3.5447712,0.17049043,3.0941873,0.14748017
87,2.2648895,0.15559195,1.0267702,0.21616313,3.2175426,0.13192485,2.6541522,0.12969744
89,5.0156636,0.18990862,1.0267702,0.21616313,3.2175426,0.13192485,2.6541522,0.12969744
89,5.0156636,0.18990862,1.0267702,0.21616313,3.318988,0.12780057,2.6541522,0.12969744
90,5.0156636,0.18990862,1.0267702,0.19665071,3.318988,0.12780057,2.8919327,0.1204033
91,6.056336,0.1693804,0.22837263,0.23425879,3.318988,0.12780057,2.8919327,0.1204033
95,6.056336,0.1693804,0.22837263,0.23425879,3.318988,0.12780057,2.3819354,0.11238921
102,4.696932,0.18686591,0.22837263,0.23425879,3.5829246,0.105677105,2.3819354,0.11238921
102,2.9002938,0.21292502,0.22837263,0.23425879,4.3749905,0.11518532,2.3819354,0.11238921
104,2.3249507,0.2134821,0.22837263,0.23425879,4.3749905,0.11518532,2.3819354,0.11238921
118,2.3249507,0.2134821,0.22837263,0.23425879,4.3749905,0.11518532,1.7784181,0.10888233
119,2.3249507,0.2134821,0.9475204,0.20261656,4.3749905,0.11518532,1.837148,0.10901446
120,2.3249507,0.2134821,0.69053394,0.19070952,4.3749905,0.11518532,1.7721227,0.1166776
130,3.0833325,0.24417609,0.69053394,0.19070952,4.8078504,0.12443788,1.7721227,0.1166776
131,3.0833325,0.24417609,0.69053394,0.19070952,5.543457,0.15519318,1.7721227,0.1166776
133,2.5217197,0.23911844,0.69053394,0.19070952,5.543457,0.15519318,1.7721227,0.1166776
133,2.5217197,0.23911844,0.69053394,0.19070952,5.802193,0.18508483,1.7721227,0.1166776
149,3.3262758,0.24280626,0.69053394,0.19070952,5.802193,0.18508483,1.5416663,0.120530486
149,3.3262758,0.24280626,0.69053394,0.19070952,5.802193,0.18508483,1.311901,0.09403391
150,3.3262758,0.24280626,0.69053394,0.19070952,5.802193,0.18508483,1.6159915,0.06784152
151,3.3262758,0.24280626,0.86316746,0.17544296,5.802193,0.18508483,1.6159915,0.06784152
151,3.3262758,0.24280626,0.5758045,0.17492634,5.802193,0.18508483,1.6159915,0.06784152
152,3.3262758,0.24280626,0.55605674,0.20494479,5.802193,0.18508483,1.6159915,0.06784152
166,6.8209343,0.22588816,0.55605674,0.20494479,5.802193,0.18508483,1.6159915,0.06784152
167,6.8861613,0.17805472,0.55605674,0.20494479,5.802193,0.18508483,1.6159915,0.06784152
168,6.8861613,0.17805472,0.55605674,0.20494479,5.802193,0.18508483,1.9426061,0.035893284
168,6.8861613,0.17805472,0.55605674,0.20494479,5.707358,0.19092862,1.9426061,0.035893284
169,6.8861613,0.17805472,0.6072921,0.17695062,5.707358,0.19092862,2.1292434,0.06710642
170,6.8861613,0.17805472,0.6072921,0.17695062,5.3825254,0.21927795,2.1292434,0.06710642
171,6.8861613,0.17805472,0.69857925,0.16880803,5.3825254,0.21927795,2.1292434,0.06710642
171,6.8861613,0.17805472,0.69857925,0.16880803,5.0164065,0.25476032,2.2124717,0.08873127
172,6.8861613,0.17805472,0.706533,0.12329444,5.0164065,0.25476032,2.2124717,0.08873127
185,6.6461086,0.09228733,0.706533,0.12329444,5.0164065,0.25476032,2.2124717,0.08873127
185,6.6461086,0.09228733,0.706533,0.12329444,4.7572193,0.26296642,2.2124717,0.08873127
186,5.924184,0.11318344,0.706533,0.12329444,4.7572193,0.26296642,2.2124717,0.08873127
188,5.0193763,0.15700588,0.706533,0.12329444,4.5821104,0.26394013,2.2124717,0.08873127
188,5.0193763,0.15700588,0.706533,0.12329444,4.356217,0.25013044,2.2124717,0.08873127
203,5.0193763,0.15700588,0.706533,0.12329444,4.356217,0.25013044,2.1431944,0.10217279
203,5.0193763,0.15700588,1.788861,0.113118716,4.356217,0.25013044,2.2141547,0.09416451
204,5.0193763,0.15700588,1.788861,0.113118716,4.356217,0.25013044,2.4307015,0.12169688
206,5.0193763,0.15700588,1.4391876,0.16062021,4.356217,0.25013044,2.4307015,0.12169688
218,5.0193763,0.15700588,1.1020185,0.16462581,4.356217,0.25013044,2.4307015,0.12169688
219,3.8900034,0.17585038,1.1020185,0.16462581,4.066059,0.27463123,2.4307015,0.12169688
219,3.5536928,0.20313057,1.1020185,0.16462581,3.6646512,0.253228,2.4307015,0.12169688
221,3.3663528,0.21402799,1.1020185,0.16462581,3.6646512,0.253228,2.4307015,0.12169688
236,3.3663528,0.21402799,1.1020185,0.16462581,3.369671,0.24198629,2.5815778,0.15011811
237,3.3663528,0.21402799,0.8970299,0.16922225,3.369671,0.24198629,3.198964,0.123593874
238,3.3663528,0.21402799,1.0465349,0.20981202,3.369671,0.24198629,3.563115,0.12684324
239,3.3663528,0.21402799,0.79813814,0.20691526,3.369671,0.24198629,3.563115,0.12684324
